Area,Point,Longitude,Latitude
US_East_Coast,24,-51.3447222222,43.6016666667
US_East_Coast,25,-52.2894444444,43.3997222222
US_East_Coast,26,-53.3369444444,43.3305555556
US_East_Coast,27,-54.1555555556,43.3538888889
US_East_Coast,28,-55.1280555556,43.4947222222
US_East_Coast,29,-55.5288888889,42.67
US_East_Coast,30,-56.1594444444,41.9719444444
US_East_Coast,31,-57.0869444444,41.3391666667
US_East_Coast,32,-58.0486111111,40.9261111111
US_East_Coast,33,-59.0883333333,40.6938888889
US_East_Coast,34,-60.2055555556,40.6425
US_East_Coast,35,-61.2341666667,40.7627777778
US_East_Coast,36,-62.2969444444,41.0811111111
US_East_Coast,37,-63.1802777778,40.6152777778
US_East_Coast,38,-64.1436111111,40.2922222222
US_East_Coast,39,-64.9919444444,40.1294444444
US_East_Coast,40,-65.8852777778,40.0955555556
US_East_Coast,41,-65.9975,39.9680555556
US_East_Coast,42,-66.3538888889,39.4733333333
US_East_Coast,43,-66.8091666667,39.0316666667
US_East_Coast,44,-67.3497222222,38.6544444444
US_East_Coast,45,-68.0336111111,38.3222222222
US_East_Coast,46,-68.7819444444,38.0913888889
US_East_Coast,47,-69.5686111111,37.9705555556
US_East_Coast,48,-70.4025,37.9630555556
US_East_Coast,49,-70.6305555556,37.8794444444
US_East_Coast,50,-71.1425,37.3102777778
US_East_Coast,51,-71.5663888889,36.5402777778
US_East_Coast,52,-71.4338888889,35.5827777778
US_East_Coast,53,-71.6177777778,34.5527777778
US_East_Coast,54,-71.8763888889,33.9136111111
US_East_Coast,55,-72.2866666667,33.3230555556
US_East_Coast,56,-72.9013888889,32.7586111111
US_East_Coast,57,-74.2005555556,31.9202777778
US_East_Coast,58,-75.2555555556,31.4538888889
US_East_Coast,59,-75.855,31.0544444444
US_East_Coast,60,-76.5272222222,30.7616666667
US_East_Coast,61,-77.3080555556,30.2133333333
US_East_Coast,62,-76.945,29.4213888889
US_East_Coast,63,-76.8,28.6163888889
US_East_Coast,64,-76.6694444444,28.2869444444
US_East_Coast,65,-79.1897222222,28.2866666667
US_East_Coast,66,-79.4763888889,27.8822222222
US_East_Coast,67,-79.5272222222,27.4336111111
US_East_Coast,68,-79.5716666667,27.2702777778
US_East_Coast,69,-79.5822222222,27.1983333333
US_East_Coast,70,-79.5886111111,27.0997222222
US_East_Coast,71,-79.5880555556,27.0077777778
US_East_Coast,72,-79.5775,26.9211111111
US_East_Coast,73,-79.5741666667,26.8994444444
US_East_Coast,74,-79.5447222222,26.7627777778
US_East_Coast,75,-79.5397222222,26.7416666667
US_East_Coast,76,-79.5388888889,26.7277777778
US_East_Coast,77,-79.5336111111,26.6866666667
US_East_Coast,78,-79.5255555556,26.6369444444
US_East_Coast,79,-79.5183333333,26.6083333333
US_East_Coast,80,-79.5138888889,26.5891666667
US_East_Coast,81,-79.5127777778,26.5808333333
US_East_Coast,82,-79.5105555556,26.5697222222
US_East_Coast,83,-79.5041666667,26.52
US_East_Coast,84,-79.4980555556,26.4847222222
US_East_Coast,85,-79.4994444444,26.4252777778
US_East_Coast,86,-79.4986111111,26.3913888889
US_East_Coast,87,-79.4983333333,26.3891666667
US_East_Coast,88,-79.5319444444,26.3158333333
US_East_Coast,89,-79.5547222222,26.2572222222
US_East_Coast,90,-79.5563888889,26.2536111111
US_East_Coast,91,-79.5980555556,26.1358333333
US_East_Coast,92,-79.6025,26.1297222222
US_East_Coast,93,-79.6097222222,26.1163888889
US_East_Coast,94,-79.6394444444,26.0477777778
US_East_Coast,95,-79.6675,25.9916666667
US_East_Coast,96,-79.6688888889,25.9877777778
US_East_Coast,97,-79.6772222222,25.9633333333
US_East_Coast,98,-79.685,25.9383333333
US_East_Coast,99,-79.6938888889,25.9011111111
US_East_Coast,100,-79.6961111111,25.89
US_East_Coast,101,-79.6997222222,25.865
US_East_Coast,102,-79.7044444444,25.8258333333
US_East_Coast,103,-79.7063888889,25.8066666667
US_East_Coast,104,-79.7066666667,25.8055555556
US_East_Coast,105,-79.7122222222,25.7738888889
US_East_Coast,106,-79.7125,25.7711111111
US_East_Coast,107,-79.7163888889,25.7277777778
US_East_Coast,108,-79.7133333333,25.7086111111
US_East_Coast,109,-79.7075,25.6769444444
US_East_Coast,110,-79.7075,25.6233333333
US_East_Coast,111,-79.7075,25.6188888889
US_East_Coast,112,-79.7033333333,25.5175
US_East_Coast,113,-79.7030555556,25.4663888889
US_East_Coast,114,-79.7033333333,25.4011111111
US_East_Coast,115,-79.7055555556,25.3725
US_East_Coast,116,-79.7022222222,25.3580555556
US_East_Coast,117,-79.69,25.2811111111
US_East_Coast,118,-79.6919444444,25.2658333333
US_East_Coast,119,-79.6919444444,25.1775
US_East_Coast,120,-79.6933333333,25.1641666667
US_East_Coast,121,-79.6958333333,25.1508333333
US_East_Coast,122,-79.7080555556,25.0652777778
US_East_Coast,123,-79.7155555556,25.05
US_East_Coast,124,-79.7347222222,25.0083333333
US_East_Coast,125,-79.7466666667,24.9841666667
US_East_Coast,126,-79.7658333333,24.9244444444
US_East_Coast,127,-79.8233333333,24.7383333333
US_East_Coast,128,-79.8272222222,24.7177777778
US_East_Coast,129,-79.8472222222,24.71
US_East_Coast,130,-79.8825,24.6963888889
US_East_Coast,131,-79.9994444444,24.6422222222
US_East_Coast,132,-80.0641666667,24.6075
US_East_Coast,133,-80.2119444444,24.555
US_East_Coast,134,-80.2225,24.5513888889
US_East_Coast,135,-80.2544444444,24.5369444444
US_East_Coast,136,-80.2819444444,24.5241666667
US_East_Coast,137,-80.2963888889,24.5158333333
US_East_Coast,138,-80.3225,24.5038888889
US_East_Coast,139,-80.3288888889,24.5016666667
US_East_Coast,140,-80.3513888889,24.4938888889
US_East_Coast,141,-80.4097222222,24.4716666667
US_East_Coast,142,-80.4194444444,24.4683333333
US_East_Coast,143,-80.4555555556,24.4563888889
US_East_Coast,144,-80.4916666667,24.4416666667
US_East_Coast,145,-80.5394444444,24.4186111111
US_East_Coast,146,-80.6025,24.3916666667
US_East_Coast,147,-80.6488888889,24.3758333333
US_East_Coast,148,-80.6641666667,24.3686111111
US_East_Coast,149,-80.7558333333,24.3252777778
US_East_Coast,150,-80.7630555556,24.3211111111
US_East_Coast,151,-80.7802777778,24.3105555556
US_East_Coast,152,-80.7816666667,24.3097222222
US_East_Coast,153,-80.9963888889,24.1641666667
US_East_Coast,154,-80.9975,24.1633333333
US_East_Coast,155,-81.0186111111,24.1494444444
US_East_Coast,156,-81.0308333333,24.1416666667
US_East_Coast,157,-81.0325,24.1405555556
US_East_Coast,158,-81.0516666667,24.1244444444
US_East_Coast,159,-81.1513888889,24.0388888889
US_East_Coast,160,-81.1877777778,24.0
US_East_Coast,161,-81.2152777778,23.9255555556
US_East_Coast,162,-81.3286111111,23.8977777778
US_East_Coast,163,-81.4997222222,23.8477777778
US_East_Coast,164,-81.6663888889,23.8338888889
US_East_Coast,165,-81.8330555556,23.8180555556
US_East_Coast,166,-82.0030555556,23.8180555556
US_East_Coast,167,-82.1663888889,23.8283333333
US_East_Coast,168,-82.4163888889,23.8538888889
US_East_Coast,169,-82.6663888889,23.8538888889
US_East_Coast,170,-82.8147222222,23.8283333333
US_East_Coast,171,-82.8530555556,23.8255555556
US_East_Coast,172,-82.9997222222,23.8233333333
US_East_Coast,173,-83.2497222222,23.8311111111
US_East_Coast,174,-83.4302777778,23.8561111111
US_East_Coast,175,-83.5502777778,23.8741666667
US_East_Coast,176,-83.6930555556,23.9011111111
US_East_Coast,177,-83.8030555556,23.9297222222
US_East_Coast,178,-83.9997222222,23.9772222222
